


.DATE		Jul. 93
.STYLE		PRINTED
.WRITER_ID	swlee
	42 26
	44 23
	43 20
	43 17
	42 14
	40 10
	39 7
	36 3
	35 0
	35 3
	37 7
	39 10
	41 13
	43 17
	47 22
	50 24
	53 26
	54 23
	54 20
	53 17
	53 14
	51 11
	50 8
	49 5
	52 8
	53 11
	55 15
	57 18
	59 22
	61 25
	63 22
	63 18
	63 14
	63 10
	63 6
	64 3
	68 2
	71 2
	75 4
	78 8
	82 12
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	49 73
	48 68
	47 64
	46 61
	46 58
	44 55
	43 48
	42 43
	42 39
	41 35
	40 31
	39 28
	38 24
	37 21
	36 18
	35 15
	34 10
	32 6
	32 3
	31 0
	31 4
	32 6
.PEN_UP
.PEN_DOWN
	45 71
	47 74
	51 74
	54 74
	58 73
	62 71
	65 68
	67 65
	68 62
	68 58
	67 55
	65 51
	62 48
	59 45
	55 42
	52 41
	48 40
	45 40
	41 40
	39 43
	39 47
	41 50
	42 51
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 27
	43 28
	40 28
	37 26
	34 24
	32 21
	32 18
	35 17
	38 16
	41 15
	44 15
	47 13
	49 10
	50 7
	49 4
	45 1
	42 0
	39 0
	36 0
	33 0
	30 1
	27 4
	25 9
	25 12
	25 16
	26 19
.PEN_UP
.PEN_DOWN
	36 29
	40 29
	44 29
	47 29
	51 29
	56 29
	59 29
	62 29
.PEN_UP
.PEN_DOWN
	63 60
	61 57
	59 54
	58 51
	56 48
	52 42
	50 37
	49 34
	46 29
	43 25
	43 22
	41 18
	40 14
	40 11
	40 8
	40 5
	41 2
	44 0
	47 0
	50 1
	53 3
	56 3
	61 5
.PEN_UP
.PEN_DOWN
	40 30
	39 27
	38 23
	36 20
	36 17
	35 14
	35 9
	35 5
	35 2
	38 0
	41 2
	45 5
	48 8
	51 11
	55 15
	56 19
	58 22
	58 25
	58 28
	57 25
	55 22
	54 19
	53 15
	53 12
	53 9
	54 6
	57 5
	60 6
	64 9
	67 12
.PEN_UP
.PEN_DOWN
	37 38
	36 35
	36 31
	35 28
	35 24
	35 20
	35 17
	35 14
	35 11
	35 6
	35 3
	35 0
	38 3
	40 6
	42 9
	45 11
	48 15
	51 19
	54 22
	56 25
	61 30
	63 33
	65 36
	68 39
	72 42
	73 43
.PEN_UP
.PEN_DOWN
	35 30
	32 26
	32 23
	31 19
	30 15
	29 11
	29 7
	30 3
	32 0
	35 0
	38 2
	41 5
	42 8
	44 12
	46 18
	46 22
	45 18
	45 15
	45 12
	45 9
	47 5
	50 3
	54 3
	58 4
	61 6
	66 11
	68 15
	69 20
	69 23
	69 26
	69 30
	69 33
	67 36
	64 38
	60 38
	57 38
	54 38
	51 36
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 64
	35 61
	34 58
	33 55
	32 51
	32 48
	30 44
	29 41
	32 40
	36 42
	39 45
	43 47
	47 51
	49 54
	51 57
	54 61
	55 64
	57 68
	57 71
	57 68
	56 64
	55 61
	53 54
	52 51
	50 46
	49 43
	49 40
	48 37
	47 34
	46 31
	45 27
	44 24
	43 21
	41 15
	40 11
	38 7
	37 4
	34 1
	31 0
	28 4
	28 7
	28 11
	30 19
	32 22
	34 26
	36 29
	39 32
	42 35
	46 37
	50 38
	54 40
	57 41
	61 42
	71 45
	75 45
.PEN_UP
.PEN_DOWN
	37 36
	41 36
	45 36
	48 36
	52 36
	55 36
	58 35
	55 35
	52 32
	49 29
	47 26
	44 22
	39 17
	36 14
	33 11
	30 8
	26 5
	24 2
	27 1
	31 1
	35 1
	39 1
	43 1
	47 0
	50 0
	53 0
	56 1
	57 1
.PEN_UP
.PEN_DOWN
	36 21
	39 19
	43 17
	46 15
	47 12
	49 12
.PEN_UP
.PEN_DOWN
	50 76
	47 70
	46 67
	43 62
	40 57
	38 54
	36 51
	34 48
	30 43
	27 37
	25 34
	23 31
	22 28
	19 24
	17 20
	15 17
	13 14
	12 11
	14 14
	16 14
.PEN_UP
.PEN_DOWN
	52 77
	51 74
	50 71
	50 68
	50 65
	50 61
	50 58
	50 53
	50 50
	50 42
	49 39
	49 36
	49 33
	49 30
	49 27
	48 23
	48 20
	47 17
	46 13
	44 7
	43 3
	43 0
	45 3
	47 6
.PEN_UP
.PEN_DOWN
	31 37
	35 36
	39 35
	43 35
	47 34
	50 34
	54 34
	58 33
	62 31
	59 30
	56 30
.PEN_UP
.PEN_DOWN
	39 50
	38 47
	37 41
	36 38
	35 34
	33 31
	33 28
	32 24
	31 19
	30 16
	29 13
	28 9
	27 6
	26 3
	24 0
	25 4
.PEN_UP
.PEN_DOWN
	37 55
	40 53
	43 52
	47 52
	51 51
	55 50
	58 50
	61 48
	64 46
	64 43
	64 39
	64 36
	60 32
	56 29
	53 27
	49 25
	45 23
	41 23
	38 23
	35 25
	39 26
	42 26
	47 26
	50 25
	53 25
	56 23
	58 20
	59 17
	59 14
	57 10
	54 7
	51 4
	48 3
	43 2
	39 2
	36 2
	32 2
	29 2
	26 3
	23 3
	20 4
	17 6
	17 9
	19 13
.PEN_UP
.PEN_DOWN
	59 45
	56 47
	53 47
	50 48
	47 48
	44 47
	41 46
	38 44
	35 42
	32 39
	30 36
	28 32
	27 29
	26 26
	26 23
	26 20
	26 16
	26 13
	26 10
	28 6
	29 3
	32 1
	37 0
	42 0
	47 0
	50 1
	54 2
	57 3
	60 5
	63 6
	66 8
	69 9
	73 11
	76 13
	77 14
.PEN_UP
.PEN_DOWN
	39 65
	38 62
	37 59
	36 55
	35 50
	34 45
	33 40
	33 37
	32 34
	31 29
	30 25
	29 22
	28 17
	28 14
	26 10
	24 6
	23 3
	22 0
	23 2
.PEN_UP
.PEN_DOWN
	31 65
	34 66
	39 66
	42 65
	45 65
	48 65
	53 64
	56 63
	60 61
	63 59
	66 56
	69 54
	71 51
	73 48
	73 45
	75 42
	75 39
	74 36
	73 33
	71 30
	69 27
	67 24
	63 21
	60 19
	57 18
	53 16
	50 15
	45 13
	42 12
	38 12
	35 11
	32 11
	29 11
	25 12
	22 15
	23 18
.PEN_UP
.PEN_DOWN
	29 61
	32 61
	37 61
	41 60
	44 60
	53 60
	56 60
	60 60
	64 60
	67 60
	62 61
.PEN_UP
.PEN_DOWN
	32 60
	32 57
	31 53
	30 49
	29 44
	28 41
	27 38
	26 34
	23 28
	21 24
	19 19
	18 15
	16 11
	15 8
	14 5
	14 2
	17 0
	20 0
	23 0
	27 0
	31 1
	35 2
	42 2
	45 2
	48 2
	53 3
	57 4
	60 4
	62 7
	61 8
.PEN_UP
.PEN_DOWN
	26 34
	29 33
	32 33
	36 34
	40 34
	44 34
	47 34
	52 34
	56 34
	60 34
	63 33
	60 33
	59 33
.PEN_UP
.PEN_DOWN
	35 65
	40 64
	43 64
	46 64
	49 64
	55 64
	59 64
	62 64
	65 64
	68 64
	65 65
	62 65
.PEN_UP
.PEN_DOWN
	33 65
	33 62
	33 59
	33 54
	32 49
	31 46
	31 41
	29 36
	28 32
	27 29
	26 26
	24 21
	22 16
	20 12
	20 9
	19 6
	17 3
	16 0
	18 3
	21 6
.PEN_UP
.PEN_DOWN
	30 39
	33 38
	36 38
	41 38
	45 38
	49 37
	52 37
	53 40
	53 41
.PEN_UP
.PEN_DOWN
	54 48
	53 45
	51 42
	51 39
	50 35
	49 32
	48 29
	48 26
	47 23
	46 20
	48 22
.PEN_UP
.PEN_DOWN
	64 56
	65 59
	64 62
	61 65
	58 65
	55 65
	51 65
	47 65
	44 64
	41 62
	37 60
	32 55
	29 52
	26 48
	25 43
	23 39
	23 35
	23 32
	23 28
	24 24
	26 21
	28 17
	31 14
	35 13
	39 13
	42 13
	46 15
	49 16
	52 19
	56 22
	60 27
	62 31
	62 34
	61 37
	59 39
.PEN_UP
.PEN_DOWN
	45 36
	48 37
	51 37
	54 36
	58 35
	61 35
	64 35
	67 35
	70 35
	73 35
	70 36
	67 35
.PEN_UP
.PEN_DOWN
	60 35
	60 32
	60 29
	59 26
	59 22
	57 19
	56 14
	55 10
	54 7
	52 3
	51 0
	53 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	33 50
	33 47
	33 44
	33 41
	34 38
	34 34
	34 29
	34 25
	34 22
	34 16
	34 13
	34 10
	34 7
	34 4
	35 1
	38 2
	41 2
	44 2
	47 2
	50 2
	54 1
	57 1
	61 1
	64 0
	66 3
.PEN_UP
.PEN_DOWN
	31 56
	31 52
	30 49
	29 45
	29 40
	28 37
	26 28
	25 24
	24 21
	23 18
	22 15
	21 11
	19 7
	18 4
	17 0
	17 3
	19 6
.PEN_UP
.PEN_DOWN
	34 55
	34 51
	35 47
	36 43
	37 40
	37 37
	38 34
	40 31
	43 30
	47 31
	51 32
	55 34
	59 36
	64 40
	69 43
	71 46
	74 50
	75 53
	78 56
	80 59
	80 62
	81 65
	80 62
	78 59
	77 56
	75 53
	74 50
	72 46
	70 42
	69 39
	69 36
	67 31
	66 28
	65 25
	64 20
	63 15
	62 12
	62 8
	62 5
	65 5
	69 8
.PEN_UP
.PEN_DOWN
	39 60
	38 56
	37 53
	36 48
	35 45
	34 40
	33 37
	31 33
	30 29
	29 26
	27 19
	26 14
	24 9
	23 6
	22 3
	22 0
	23 3
	24 6
.PEN_UP
.PEN_DOWN
	34 60
	37 58
	39 55
	42 50
	43 47
	44 44
	46 41
	49 37
	50 34
	52 30
	54 26
	56 23
	58 20
	60 17
	62 14
	66 10
	69 9
	71 12
	74 15
	76 18
	79 24
	81 29
	83 34
	84 38
	85 43
	85 46
	85 51
	83 56
	79 59
	75 61
	71 62
	68 62
	65 62
	61 62
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	54 73
	51 73
	48 73
	45 72
	42 71
	38 68
	34 65
	32 62
	29 60
	25 55
	21 49
	19 45
	18 41
	17 38
	16 34
	16 30
	16 27
	16 22
	18 18
	22 12
	26 10
	30 9
	35 9
	38 9
	42 11
	45 12
	48 14
	52 16
	59 20
	62 23
	65 26
	68 29
	70 32
	73 38
	74 41
	74 45
	74 48
	74 52
	74 55
	72 61
	68 66
	64 70
	61 72
	56 75
	51 76
	45 76
	42 74
	42 71
	42 68
	42 66
.PEN_UP
.PEN_DOWN
	49 32
	51 29
	53 26
	55 23
	57 19
	59 16
	61 12
	63 9
	65 6
	66 3
	68 0
	68 3
.PEN_UP
.PEN_DOWN
	32 63
	32 60
	32 57
	32 53
	32 50
	31 46
	30 43
	30 39
	29 36
	28 33
	28 30
	27 26
	25 20
	25 17
	24 14
	22 9
	21 6
	19 3
	18 0
	21 5
.PEN_UP
.PEN_DOWN
	33 62
	36 64
	40 67
	44 68
	47 68
	51 68
	54 68
	57 67
	60 64
	60 61
	60 57
	60 53
	59 50
	58 46
	55 42
	52 39
	49 36
	45 34
	39 31
	36 28
	32 28
	29 27
	26 27
	25 30
	28 31
	31 30
	34 29
	37 26
	38 23
	40 19
	43 14
	45 11
	47 8
	51 6
	54 5
	59 6
	63 8
	66 9
	70 13
	73 15
.PEN_UP
.PEN_DOWN
	60 62
	57 64
	54 66
	51 66
	48 66
	45 66
	42 65
	39 65
	36 64
	33 63
	30 61
	27 59
	25 56
	23 53
	23 50
	22 46
	22 42
	24 39
	27 36
	30 35
	33 34
	37 33
	41 33
	45 32
	49 31
	52 30
	55 28
	58 26
	60 23
	60 20
	61 17
	61 14
	61 10
	60 7
	56 3
	53 1
	49 0
	46 0
	42 0
	39 0
	35 1
	32 2
	29 3
	26 4
	23 7
	19 11
	16 15
	15 18
	14 21
	13 25
	13 28
	13 30
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	36 55
	34 51
	32 47
	31 44
	30 40
	27 33
	27 30
	25 25
	24 22
	23 19
	23 14
	23 10
	23 7
	24 3
	26 0
	30 0
	33 1
	38 3
	41 6
	44 9
	47 12
	50 16
	53 19
	56 25
	59 30
	61 33
	63 38
	64 41
	66 45
	67 49
	68 55
	69 58
	69 61
	68 58
	67 54
	65 49
	63 44
	61 40
	60 35
	58 30
	57 27
	56 22
	55 19
	55 14
	55 10
	56 7
	57 4
	61 2
	64 2
	67 4
	69 7
	70 10
.PEN_UP
.PEN_DOWN
	35 63
	34 60
	34 57
	34 53
	34 49
	33 45
	33 41
	33 37
	32 31
	32 28
	32 23
	32 20
	32 17
	32 13
	32 9
	32 6
	32 3
	32 0
	35 3
	36 6
	39 8
	42 12
	46 16
	48 19
	50 22
	53 26
	56 29
	59 33
	62 37
	64 40
	69 47
	71 50
	74 55
	76 59
	77 62
	77 65
	76 62
	75 60
.PEN_UP
.PEN_DOWN
	17 51
	15 46
	13 38
	13 35
	12 32
	12 29
	12 26
	12 23
	12 20
	12 17
	12 14
	13 10
	14 7
	16 4
	19 3
	23 5
	27 7
	28 10
	31 16
	33 19
	34 23
	35 26
	36 29
	37 32
	38 37
	40 42
	40 46
	40 50
	40 53
	40 56
	39 51
	38 46
	37 43
	37 40
	37 37
	37 34
	37 31
	37 28
	37 25
	37 22
	38 15
	38 12
	39 9
	40 5
	43 2
	46 0
	50 0
	56 2
	60 5
	64 9
	67 12
	69 16
	71 20
	73 25
	76 30
	78 34
	79 38
	82 47
	82 52
	82 56
	82 60
	80 63
	79 67
	75 71
	64 78
	59 75
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 66
	29 61
	30 57
	32 53
	35 49
	38 46
	40 43
	44 39
	46 36
	46 39
.PEN_UP
.PEN_DOWN
	84 70
	81 70
	77 67
	74 64
	70 61
	66 58
	62 54
	59 52
	55 48
	52 45
	49 43
	46 40
	43 37
	45 40
	46 37
	46 33
	45 29
	45 26
	44 22
	43 17
	42 14
	40 10
	38 7
	35 2
	35 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 81
	49 74
	48 71
	47 68
	45 64
	43 61
	42 56
	40 53
	38 49
	37 45
	34 41
	33 38
	31 34
	27 27
	25 23
	24 20
	21 15
	19 11
	18 8
	21 9
	23 12
.PEN_UP
.PEN_DOWN
	53 80
	54 76
	54 71
	55 68
	55 65
	55 62
	56 58
	56 51
	56 48
	56 44
	55 41
	55 37
	55 33
	55 30
	55 26
	54 22
	54 19
	54 16
	53 10
	52 6
	52 3
	51 0
	51 3
	52 3
.PEN_UP
.PEN_DOWN
	29 40
	34 39
	39 39
	45 38
	49 38
	52 38
	55 38
	58 38
	61 38
	66 37
	69 37
	67 35
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	54 50
	54 53
	51 55
	48 56
	45 57
	40 57
	36 55
	33 54
	28 50
	24 45
	22 42
	20 38
	19 35
	17 32
	16 28
	16 23
	16 20
	17 17
	20 11
	24 6
	27 4
	30 2
	35 0
	39 0
	44 0
	47 0
	50 1
	55 3
	58 6
.PEN_UP
.PEN_DOWN
	41 75
	40 71
	39 66
	38 59
	37 56
	37 52
	36 49
	34 46
	33 42
	32 38
	30 34
	29 30
	27 26
	26 22
	24 14
	23 11
	22 8
	20 3
	19 0
	22 3
	24 8
.PEN_UP
.PEN_DOWN
	37 79
	41 81
	47 82
	50 82
	55 82
	59 81
	62 79
	65 78
	68 76
	71 74
	74 71
	75 68
	77 62
	77 59
	77 55
	76 51
	75 48
	73 45
	71 42
	68 39
	66 36
	63 34
	60 31
	52 25
	49 24
	46 23
	43 21
	40 21
	37 20
	33 20
	28 20
	25 21
	23 25
	23 28
	23 30
.PEN_UP
.PEN_DOWN
	33 57
	37 56
	42 56
	47 56
	50 56
	53 56
	56 56
	59 56
	62 56
	67 56
	70 56
	69 53
	67 53
.PEN_UP
.PEN_DOWN
	37 55
	35 51
	34 48
	33 45
	32 42
	30 39
	29 36
	27 33
	24 28
	22 25
	19 21
	18 18
	15 14
	14 10
	13 7
	12 3
	14 0
	17 0
	20 0
	25 1
	28 1
	31 1
	35 2
	41 2
	44 3
	47 3
	51 3
	55 4
	58 5
	61 9
	61 12
	61 14
.PEN_UP
.PEN_DOWN
	25 36
	30 36
	35 36
	41 36
	44 36
	47 36
	50 36
	53 35
	58 35
	62 34
	64 32
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	39 77
	39 72
	38 69
	38 66
	37 61
	37 58
	36 55
	36 52
	36 49
	35 45
	34 38
	34 34
	33 31
	32 28
	31 25
	30 22
	30 18
	30 14
	28 10
	28 6
	27 3
	27 0
	27 3
	28 6
	29 9
.PEN_UP
.PEN_DOWN
	39 39
	42 39
	46 39
	50 39
	53 39
	56 39
	59 39
	64 40
	67 40
	64 41
	64 42
.PEN_UP
.PEN_DOWN
	69 82
	69 77
	68 74
	68 71
	67 68
	67 65
	67 61
	66 58
	65 55
	64 50
	64 47
	63 43
	62 36
	61 32
	60 27
	60 22
	60 19
	60 15
	60 11
	63 9
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 65
	31 65
	35 65
	41 65
	45 65
	48 65
	53 65
	57 65
	60 65
	63 65
	63 66
.PEN_UP
.PEN_DOWN
	45 67
	44 64
	43 61
	43 58
	43 55
	43 52
	44 49
	45 43
	45 39
	46 35
	47 31
	47 26
	47 23
	45 17
	43 13
	42 9
	39 6
	36 4
	33 2
	28 0
	25 0
	22 1
	19 4
	18 7
	18 10
	18 15
	18 18
	18 20
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	32 64
	29 61
	28 57
	27 53
	25 48
	24 44
	24 41
	24 38
	23 35
	23 32
	23 29
	22 26
	22 22
	22 17
	21 13
	21 10
	20 7
	20 3
	19 0
	23 2
	27 2
	31 2
	34 2
	39 2
	42 2
	45 2
	51 2
	55 2
	58 2
	61 2
	61 5
	61 7
.PEN_UP
.PEN_DOWN
	23 56
	21 52
	21 49
	19 44
	18 41
	16 35
	16 32
	15 29
	15 26
	14 22
	14 19
	14 14
	15 9
	15 6
	15 3
	14 0
	13 3
	14 6
.PEN_UP
.PEN_DOWN
	31 52
	31 49
	32 46
	32 42
	31 37
	31 33
	31 30
	31 26
	32 23
	36 21
	39 23
	43 26
	46 29
	51 33
	54 35
	59 39
	64 43
	66 46
	69 50
	70 53
	71 56
	68 54
	67 51
	66 48
	65 44
	63 40
	63 35
	62 31
	62 27
	61 24
	61 21
	61 16
	61 13
	62 9
	62 6
	62 3
	63 0
	65 3
.PEN_UP
.PEN_DOWN
	30 55
	27 47
	25 44
	24 41
	22 38
	21 35
	20 31
	19 28
	17 24
	16 21
	15 18
	14 15
	11 9
	10 6
	9 3
	8 0
	9 3
	10 5
.PEN_UP
.PEN_DOWN
	29 61
	29 57
	30 54
	31 49
	33 45
	33 42
	34 37
	35 32
	36 28
	37 24
	38 21
	41 18
	42 14
	45 11
	47 8
	50 7
	53 9
	56 12
	59 16
	61 19
	63 24
	64 27
	65 30
	66 34
	67 40
	67 43
	67 46
	66 51
	65 54
	63 57
	60 59
	54 62
	51 63
	50 61
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	39 65
	38 62
	37 59
	37 55
	36 52
	34 48
	34 45
	32 41
	31 38
	29 34
	28 31
	27 27
	25 20
	23 16
	21 12
	19 9
	18 6
	20 10
	22 13
	25 16
.PEN_UP
.PEN_DOWN
	35 59
	36 62
	39 64
	42 66
	46 67
	51 68
	55 68
	58 68
	62 66
	65 63
	67 59
	67 55
	67 50
	66 46
	65 42
	62 39
	59 36
	55 34
	51 31
	47 30
	44 29
	41 29
	37 30
	34 31
	31 33
	34 32
	36 27
	38 23
	39 19
	42 16
	45 12
	48 9
	54 5
	59 3
	63 2
	66 1
	69 0
	70 1
.PEN_UP
.PEN_DOWN
	65 46
	66 49
	67 52
	66 55
	65 58
	63 62
	61 65
	58 66
	54 66
	50 66
	46 65
	39 64
	35 61
	32 59
	30 56
	28 53
	28 49
	28 45
	29 41
	32 37
	35 34
	39 30
	43 27
	49 21
	52 18
	54 15
	54 12
	54 9
	53 6
	50 3
	47 1
	43 0
	39 0
	34 0
	30 2
	27 6
	25 9
	24 12
	24 16
	24 20
	25 23
	26 24
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 61
	27 57
	27 54
	24 49
	23 46
	22 43
	19 37
	18 34
	17 31
	16 28
	15 25
	15 22
	14 18
	14 15
	14 11
	14 7
	15 4
	17 1
	21 0
	25 1
	30 3
	33 4
	38 7
	41 9
	43 12
	46 14
	49 17
	53 22
	55 25
	58 30
	60 34
	61 38
	62 42
	62 45
	62 48
	61 51
	62 54
	60 51
	59 47
	57 42
	55 37
	54 34
	53 31
	52 28
	51 23
	50 20
	49 17
	49 14
	48 11
	48 6
	48 3
	51 6
	53 9
.PEN_UP
.PEN_DOWN
	31 63
	28 60
	27 56
	26 52
	25 49
	25 44
	24 39
	24 34
	23 31
	23 28
	23 25
	22 22
	22 19
	22 16
	21 9
	21 6
	20 3
	19 0
	22 0
	25 1
	28 4
	33 7
	38 11
	42 13
	46 16
	50 19
	54 23
	58 26
	62 29
	65 32
	68 35
	73 39
	76 43
	79 46
	80 49
	78 48
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	63 68
	59 64
	56 60
	53 57
	51 54
	49 50
	45 46
	40 39
	37 36
	34 32
	30 29
	29 26
	25 21
	22 16
	19 12
	16 9
	14 6
	14 10
	16 13
.PEN_UP
.PEN_DOWN
	26 70
	27 66
	30 63
	31 60
	34 55
	37 50
	38 47
	40 44
	41 41
	44 38
	45 35
	47 32
	48 29
	51 26
	52 23
	54 17
	56 14
	59 9
	61 6
	64 3
	65 0
	68 1
	68 4
	70 6
.PEN_UP
.PEN_DOWN
	15 74
	18 68
	19 65
	21 60
	23 57
	24 54
	25 51
	28 46
	31 42
	35 37
	36 34
	37 31
	37 34
	38 37
	38 39
.PEN_UP
.PEN_DOWN
	78 69
	75 67
	70 63
	66 60
	62 57
	59 55
	54 52
	51 49
	48 46
	45 45
	41 42
	40 39
	40 36
	40 33
	40 28
	40 25
	39 20
	37 14
	36 9
	35 6
	34 3
	33 0
	36 3
.PEN_UP
.PEN_DOWN
	21 65
	24 63
	28 62
	33 62
	36 62
	41 62
	44 62
	47 62
	51 61
	57 61
	61 61
	65 61
	69 61
	66 61
	63 59
	60 55
	57 51
	51 44
	49 41
	46 38
	42 33
	40 30
	38 27
	33 22
	29 17
	27 14
	24 10
	21 6
	18 3
	16 0
	19 0
	22 0
	25 0
	29 0
	34 0
	38 0
	43 0
	47 0
	52 0
	55 1
	59 2
	60 3
.PEN_UP
.PEN_DOWN
	26 47
	29 45
	33 42
	37 39
	41 37
	46 35
	51 32
	56 30
	61 28
	64 28
	61 28
	58 28
	57 29
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	35 62
	34 57
	33 52
	32 49
	30 45
	30 42
	29 39
	27 35
	27 31
	26 28
	24 21
	23 18
	22 15
	22 12
	22 9
	21 6
	21 3
	20 0
	21 3
	22 5
.PEN_UP
.PEN_DOWN
	31 57
	34 59
	37 60
	40 60
	44 61
	48 61
	51 61
	58 60
	61 59
	65 57
	68 56
	72 54
	75 51
	77 48
	78 44
	78 41
	76 37
	72 32
	69 28
	67 25
	63 21
	58 17
	55 15
	51 13
	48 11
	43 10
	39 8
	36 7
	33 7
	30 8
	28 11
	27 11
.PEN_UP
.PEN_DOWN
	24 51
	28 50
	32 50
	35 50
	41 51
	46 51
	51 52
	54 53
	58 53
	61 53
	59 53
.PEN_UP
.PEN_DOWN
	33 51
	31 48
	31 45
	30 42
	29 38
	28 34
	27 29
	26 25
	26 22
	25 17
	24 14
	24 11
	24 8
	23 5
	23 2
	26 0
	30 0
	33 0
	37 0
	41 1
	45 2
	48 2
	52 3
	55 3
	61 3
	64 3
	67 3
	66 6
	64 7
.PEN_UP
.PEN_DOWN
	27 29
	32 29
	36 30
	39 30
	43 30
	47 30
	51 30
	55 30
	56 30
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	59 69
	58 72
	56 75
	53 77
	50 77
	47 76
	43 75
	39 72
	36 70
	33 66
	29 62
	27 59
	25 56
	23 53
	21 50
	20 46
	17 40
	17 37
	16 34
	16 31
	16 26
	18 22
	20 18
	22 15
	26 13
	30 12
	34 12
	37 12
	41 14
	44 16
	47 17
	52 21
	57 25
	59 30
	61 34
	62 37
	62 41
.PEN_UP
.PEN_DOWN
	39 42
	43 42
	46 42
	50 43
	53 43
	58 44
	62 45
	65 45
	69 46
	72 46
	70 44
.PEN_UP
.PEN_DOWN
	57 41
	57 37
	57 34
	57 31
	57 27
	56 20
	56 17
	56 14
	55 11
	54 7
	54 3
	54 0
	56 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	37 55
	41 55
	45 55
	48 55
	52 55
	56 55
	59 55
	62 55
	59 57
.PEN_UP
.PEN_DOWN
	47 54
	46 50
	45 47
	44 43
	44 40
	43 37
	43 34
	42 29
	41 26
	41 22
	40 18
	39 13
	38 10
	37 6
	36 3
	35 0
	36 1
.PEN_UP
.PEN_DOWN
	28 2
	32 2
	35 2
	38 2
	43 2
	49 2
	52 2
	55 2
	60 2
	64 2
	67 1
	66 1
.PEN_UP
.PEN_DOWN
	34 68
	38 68
	44 67
	48 67
	52 67
	55 67
	58 67
	61 68
	60 69
.PEN_UP
.PEN_DOWN
	46 62
	46 58
	46 54
	46 51
	46 48
	46 44
	46 39
	45 33
	45 30
	44 25
	43 21
	41 16
	38 12
	33 7
	30 5
	26 2
	22 1
	18 0
	14 0
	10 2
	7 6
	7 9
	7 14
	7 17
	7 20
	8 22
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
