


.DATE		Aug. 92
.STYLE		MIXED
.WRITER_ID	jhkim
	342 27
	339 27
	336 24
	333 21
	332 17
	332 14
	332 11
	334 8
	338 7
	342 5
	347 5
	350 5
	354 5
	357 5
	361 5
	371 5
.PEN_UP
.PEN_DOWN
	230 15
	232 18
	233 21
	236 23
	239 27
	242 28
	245 28
	245 25
	244 21
	244 17
	244 13
	244 8
	246 5
	249 5
	251 8
	254 10
	257 12
	258 15
	260 18
	262 21
	263 24
	261 21
	261 18
	261 15
	262 12
	263 9
	266 8
	268 11
	271 15
	274 18
	276 21
	278 24
	281 27
	283 30
	286 31
	287 27
	287 24
	287 20
	286 16
	286 13
	286 10
	285 7
	285 4
	283 1
	287 3
	290 7
	292 10
	295 14
	300 20
	301 23
	305 27
	305 23
	304 20
	304 14
	304 10
	304 7
	304 4
	308 2
	311 1
	313 4
	316 8
	319 11
	320 14
	320 18
	321 21
	321 24
	321 27
	320 24
	319 21
	318 18
	317 15
	317 12
	316 8
	317 5
	319 2
	323 3
	326 6
	329 8
	330 11
	332 14
	333 17
	334 21
	335 24
	336 27
	336 30
	336 33
	337 30
	337 27
	337 24
	337 21
	337 17
	337 14
	337 11
	337 8
	337 4
	337 1
	340 0
	344 1
	346 5
	348 8
	348 12
	350 16
	351 19
	353 23
	353 27
	354 30
	355 33
	355 36
	355 33
	356 29
	359 26
	362 23
	364 20
	367 20
	371 20
	374 20
	377 23
	380 25
	381 28
	384 28
	385 31
	384 35
	381 37
	377 37
	373 37
	370 33
	370 30
	370 26
	369 23
	369 19
	369 15
	370 12
	372 9
	373 6
	378 5
	381 5
	384 7
	387 8
	390 13
	392 16
	393 19
	393 24
	395 27
	396 30
	400 32
	403 30
	405 27
	406 23
	406 20
	405 17
	405 14
	405 11
	405 8
	408 6
	411 6
	414 8
	417 11
	419 14
	422 16
	423 20
	426 23
	427 27
	429 30
	431 27
	431 23
	431 20
	431 17
	431 14
	430 11
	429 8
	426 7
	423 7
	420 9
	419 12
	422 10
	425 8
	429 7
	433 6
	436 6
	440 8
	444 9
	449 13
	451 16
	454 19
	457 23
	459 27
	459 30
	455 32
	452 32
	448 30
	446 27
	444 22
	443 17
	442 14
	444 10
	446 6
	450 4
	453 2
	456 1
	460 1
	463 1
	467 1
.PEN_UP
.PEN_DOWN
	314 50
	317 47
	320 45
	326 43
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	246 3
	248 6
	250 9
	253 11
	256 15
	260 19
	264 23
	264 26
	267 31
	269 35
	270 39
	271 44
	271 48
	270 44
	268 40
	268 37
	268 34
	266 29
	266 21
	265 18
	264 13
	263 10
	263 7
	263 4
	266 4
	269 4
	271 7
	274 8
	278 12
	281 15
	284 18
	285 21
	288 24
	286 21
	286 17
	286 14
	286 11
	286 7
	286 3
	287 0
	290 0
	293 1
	296 4
	299 6
	301 9
	302 12
	303 15
	303 18
	303 21
	303 27
	302 30
	302 33
	299 34
	296 32
	295 28
	295 25
	296 22
	297 19
	300 18
	304 18
	307 18
	311 19
	314 21
	318 22
	319 23
.PEN_UP
.PEN_DOWN
	248 35
	251 37
	254 37
	260 36
	263 36
	266 36
	269 36
	272 36
	276 36
	281 36
	286 36
.PEN_UP
.PEN_DOWN
	269 29
	266 29
	262 26
	257 22
	254 20
	253 15
	253 11
	253 8
	257 5
	260 4
	263 4
	270 4
	273 5
	277 7
	281 8
	283 10
.PEN_UP
.PEN_DOWN
	291 32
	291 28
	291 25
	292 22
	292 18
	292 13
	292 10
	293 6
	295 9
	295 14
	296 18
	299 21
	302 25
	307 28
	310 28
	313 26
	315 25
.PEN_UP
.PEN_DOWN
	319 24
	319 21
	319 18
	318 14
	317 11
	317 7
	318 3
	319 0
	322 0
	325 0
	328 2
	331 6
	333 9
	334 13
	337 16
	337 20
	337 23
	338 27
	338 30
	338 25
	338 22
	338 19
	338 16
	338 13
	338 9
	342 7
	346 8
	351 10
	353 14
	354 17
	357 20
	357 23
	359 27
	361 23
	360 17
	360 13
	360 10
	360 6
	357 3
	354 2
	351 5
	349 8
	352 6
	355 5
	361 4
	365 4
	370 6
	375 9
	379 10
	379 13
	382 16
	385 21
	388 27
	389 30
	390 33
	392 36
	392 39
	393 42
	394 46
	395 49
	396 52
	393 51
	391 48
	390 45
	388 40
	386 37
	386 33
	384 30
	382 26
	381 23
	380 20
	379 17
	379 12
	379 9
	380 6
	383 4
	386 6
	386 10
	389 13
	390 18
	393 20
	396 24
	399 27
	402 28
	403 25
	403 22
	403 18
	402 14
	402 10
	402 7
	402 4
	407 2
	410 2
	415 3
	418 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	209 11
	209 14
	210 18
	213 21
	217 24
	220 25
	223 26
	228 28
	231 28
	234 27
	234 24
	234 20
	234 15
	232 11
	232 7
	232 4
	231 1
	231 4
	233 10
	236 14
	236 18
	239 20
	242 24
	245 27
	248 25
	248 22
	248 19
	248 14
	248 11
	248 8
	248 5
	247 1
	247 4
	248 7
	251 11
	255 15
	256 19
	259 22
	262 25
	265 27
	266 24
	266 20
	266 17
	265 14
	265 11
	265 8
	266 5
	269 5
	272 6
	276 7
	278 7
.PEN_UP
.PEN_DOWN
	297 25
	294 26
	291 27
	287 27
	284 24
	281 21
	280 18
	279 15
	278 11
	278 8
	281 5
	284 6
	288 7
	291 9
	294 12
	298 16
	299 20
	300 23
	301 26
	300 23
	300 19
	300 15
	300 11
	301 8
	301 5
	301 2
	305 1
	307 4
	310 7
	312 11
	313 14
	315 19
	318 21
	320 17
	320 14
	320 11
	320 8
	320 5
	321 1
	324 1
	327 5
	330 7
	334 12
	336 16
	338 19
	338 15
	337 12
	337 9
	337 5
	338 2
	341 0
	345 0
	349 0
	354 2
	358 2
.PEN_UP
.PEN_DOWN
	225 9
	227 13
	230 16
	232 19
	235 21
	238 23
	241 24
	245 24
	248 23
	249 20
	249 17
	248 12
	248 9
	248 6
	247 3
	247 0
	250 2
	253 4
	254 7
	258 11
	262 14
	266 18
	267 21
	267 24
	267 21
	267 15
	269 12
	272 9
	276 9
	278 12
	280 15
	281 18
	283 21
	284 24
	285 27
	289 25
	292 25
	296 25
	299 24
	302 24
	305 24
	308 25
	310 28
	307 27
	304 24
	302 20
	299 16
	298 13
	298 10
	297 7
	297 4
	300 2
	303 4
	307 7
	308 10
	311 13
	312 16
	312 20
	312 23
	311 26
	310 29
	313 29
	317 29
	320 29
	323 29
	327 29
	329 26
	329 23
	329 20
	328 17
	328 14
	326 11
	323 7
	322 4
	322 1
	325 0
	329 1
	332 4
	335 6
	338 11
	341 15
	344 19
	347 23
	349 26
	350 29
	347 28
	344 27
	343 24
	343 21
	342 18
	342 15
	342 12
	342 9
	345 8
	348 8
	351 10
	355 11
	358 12
	361 16
	365 21
	366 24
	368 27
	371 31
	374 35
	374 39
	376 43
	377 48
	378 52
	377 55
	378 58
	375 56
	374 53
	372 50
	370 47
	368 43
	365 40
	365 36
	365 32
	364 29
	363 25
	363 20
	363 15
	363 12
	364 9
	367 9
	370 9
	373 10
	375 11
.PEN_UP
.PEN_DOWN
	397 28
	394 28
	391 28
	388 27
	385 24
	382 23
	378 20
	377 17
	375 11
	377 8
	382 7
	388 9
	390 12
	393 13
	397 17
	400 22
	402 25
	404 28
	408 34
	410 37
	412 41
	412 46
	414 49
	414 52
	414 55
	412 58
	408 58
	407 55
	405 52
	404 47
	404 44
	402 41
	402 34
	400 30
	400 26
	400 22
	400 19
	400 16
	402 12
	404 8
	408 6
	411 3
	412 1
.PEN_UP
.PEN_DOWN
	248 9
	252 11
	254 14
	256 17
	259 19
	260 22
	262 25
	264 28
	267 32
	268 29
	268 24
	268 20
	268 16
	268 13
	268 9
	268 6
	265 6
	263 9
	262 12
	262 15
	262 12
	263 9
	265 5
	268 5
	272 5
	276 6
	279 7
	282 9
	286 11
	289 13
	293 16
	296 19
	299 24
	303 29
	304 32
	306 36
	306 39
	308 42
	308 47
	309 51
	309 55
	309 59
	308 62
	306 59
	303 54
	302 50
	301 46
	301 40
	301 36
	301 32
	300 28
	299 24
	299 20
	299 15
	299 11
	299 8
	299 3
	301 0
	305 5
	308 7
	309 11
	312 13
	315 17
	318 21
	320 24
	323 28
	324 31
	322 28
	322 25
	321 21
	320 18
	320 14
	322 11
	325 10
	329 10
	332 11
	336 14
	339 15
	340 18
	343 20
	345 23
	347 26
	350 29
	353 32
	356 36
	358 39
	360 42
	362 46
	362 49
	364 53
	365 56
	365 59
	365 62
	362 64
	358 63
	354 59
	353 55
	351 52
	349 49
	346 45
	346 41
	344 38
	342 34
	341 30
	340 27
	340 24
	340 21
	340 16
	342 13
	345 12
	348 11
	351 12
	354 14
	357 18
	361 22
	364 26
	365 30
	368 35
	370 39
	372 42
	374 45
	374 49
	375 52
	377 57
	378 61
	378 64
	375 62
	373 56
	371 53
	369 47
	368 43
	366 39
	365 35
	365 30
	364 26
	364 23
	364 20
	366 15
	369 14
	372 14
	376 13
	383 12
.PEN_UP
.PEN_DOWN
	287 49
	290 50
	294 50
	297 52
	300 52
	304 52
	308 53
	311 50
	311 49
.PEN_UP
.PEN_DOWN
	333 62
	336 60
	340 58
	347 55
.PEN_UP
.PEN_DOWN
	227 26
	232 28
	235 30
	238 32
	241 35
	244 37
	248 39
	251 44
	258 46
	263 51
	266 53
	267 56
	267 59
	267 62
	263 62
	263 59
	260 58
	260 55
	257 52
	257 48
	256 45
	252 40
	251 36
	249 33
	247 29
	246 26
	245 23
	244 19
	243 16
	243 13
	243 8
	243 5
	246 2
	249 0
	253 0
	257 1
	261 2
	265 5
	273 9
	277 13
	280 16
	283 18
	286 20
	286 17
	287 13
	290 12
	293 11
	296 11
	300 14
	303 14
	308 19
	311 22
	311 26
	310 29
	306 31
	302 30
	299 30
	297 26
	294 24
	292 19
	292 16
	292 12
	294 9
	298 7
	303 6
	309 5
	314 5
	317 5
	320 5
	324 3
	326 3
.PEN_UP
.PEN_DOWN
	221 15
	221 18
	224 19
	226 22
	230 26
	232 29
	235 30
	238 32
	242 34
	245 35
	248 34
	248 31
	247 27
	247 23
	246 20
	245 15
	243 12
	242 9
	241 6
	242 10
	245 12
	249 16
	252 18
	256 22
	261 26
	265 28
	266 25
	266 22
	266 18
	265 12
	264 8
	264 5
	263 2
	263 6
	265 9
	267 12
	271 15
	272 19
	277 22
	279 25
	282 27
	285 30
	286 27
	285 24
	284 20
	283 17
	281 14
	281 11
	280 7
	280 3
	282 0
	285 0
	288 1
	292 1
	296 3
	298 6
	301 8
	305 13
	308 17
	310 21
	311 24
	311 21
	309 18
	309 15
	307 10
	307 7
	307 4
	310 2
	314 2
	317 2
	321 4
	323 7
	326 9
	327 12
	327 18
	327 22
	327 25
	326 28
	324 31
	321 32
	318 31
	316 28
	314 25
	314 22
	315 19
	318 17
	322 16
	326 18
	329 19
	332 22
	336 23
	339 26
	343 27
	346 29
	347 26
	347 22
	347 19
	347 16
	347 13
	349 10
	352 10
	355 11
	358 12
	360 15
	363 16
	365 19
	368 22
	368 25
	371 27
	371 30
	371 34
	371 37
	367 39
	364 36
	361 32
	359 28
	356 24
	356 21
	355 17
	355 14
	356 11
	359 8
	362 7
	366 6
	371 6
	374 6
	377 6
	380 6
	383 6
	384 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	245 2
	248 4
	251 8
	255 12
	259 15
	260 19
	262 24
	265 26
	267 32
	269 36
	270 39
	272 42
	272 45
	272 48
	269 44
	268 40
	266 36
	266 31
	266 28
	264 24
	264 18
	263 15
	263 12
	262 9
	262 5
	265 4
	269 4
	276 7
	279 9
	282 10
	285 13
	288 14
	291 15
	293 18
	298 23
	298 27
	301 34
	301 38
	302 43
	302 46
	302 49
	301 45
	300 42
	299 39
	298 34
	297 31
	295 28
	293 22
	292 19
	292 16
	290 11
	290 7
	290 3
	291 0
	294 0
	297 3
	299 6
	301 9
	304 13
	306 17
	309 20
	312 22
	315 22
	316 18
	315 15
	315 12
	313 9
	314 6
	316 3
	319 3
	323 2
	327 0
.PEN_UP
.PEN_DOWN
	237 31
	241 33
	246 34
	252 34
	256 33
	262 32
	265 31
	268 30
	272 30
	277 29
.PEN_UP
.PEN_DOWN
	331 9
	331 12
	331 15
	330 19
	327 21
	324 20
	322 17
	319 13
	319 9
	319 6
	322 4
	326 4
	329 5
	330 8
	332 11
	333 15
	334 19
	335 14
	335 11
	337 8
	340 6
	346 6
	349 8
	352 10
	355 14
	357 17
	361 22
	362 27
	364 31
	366 36
	367 39
	368 42
	369 46
	368 43
	366 38
	366 33
	366 27
	368 24
	370 19
	371 16
	372 13
	374 10
.PEN_UP
.PEN_DOWN
	339 28
	341 31
	344 32
	347 33
	350 33
	355 34
	360 34
	364 34
	368 34
	371 34
	375 33
.PEN_UP
.PEN_DOWN
	212 21
	213 25
	215 28
	218 30
	221 31
	225 32
	228 32
	231 32
	232 29
	231 26
	231 23
	231 20
	228 17
	228 13
	227 9
	230 8
	233 10
	236 13
	237 17
	240 20
	242 23
	244 27
	243 23
	242 20
	244 17
	246 14
	251 16
	253 19
	254 22
	255 25
	258 24
	262 23
	265 25
	268 28
	271 31
	272 35
	274 39
	276 42
	277 45
	277 48
	278 52
	278 55
	278 59
	278 62
	275 59
	274 55
	273 51
	272 47
	272 44
	272 41
	270 37
	269 34
	269 30
	269 27
	268 21
	267 18
	267 15
	267 12
	268 15
	271 19
	274 23
	277 25
	279 28
	282 29
	283 25
	283 22
	283 18
	283 15
	283 12
	286 10
	290 10
	293 11
	296 13
	300 16
	302 19
	305 21
	306 25
	308 28
	309 31
	308 28
	308 25
	308 22
	308 19
	309 16
	312 14
	313 13
.PEN_UP
.PEN_DOWN
	305 51
	308 50
	313 48
.PEN_UP
.PEN_DOWN
	326 28
	323 25
	320 21
	319 18
	319 13
	321 10
	324 10
	329 10
	333 12
	336 14
	339 15
	342 20
	345 22
	348 24
	351 26
	352 29
	356 35
	356 38
	357 41
	357 44
	358 47
	359 50
	359 54
	358 57
	358 61
	357 58
	355 54
	355 51
	353 48
	351 43
	350 38
	347 33
	347 30
	345 24
	345 21
	345 17
	345 13
	347 10
	350 8
	351 11
	352 14
	353 17
	356 23
	358 27
	361 29
	364 29
	366 26
	366 23
	365 19
	364 15
	363 11
	363 7
	363 4
	363 1
	366 0
	370 0
	372 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	238 22
	242 25
	245 27
	249 30
	253 33
	256 35
	259 37
	262 40
	265 44
	268 48
	270 51
	270 54
	268 57
	265 57
	263 54
	260 52
	259 48
	259 44
	258 38
	256 34
	256 31
	255 27
	254 24
	253 20
	253 17
	253 13
	252 10
	251 6
	251 3
	250 0
	250 3
	251 6
	253 9
	257 13
	261 16
	264 19
	267 21
	271 23
	274 24
	273 20
	271 17
	271 14
	270 10
	270 7
	272 4
	275 3
	279 3
	282 3
	285 3
	288 5
	291 7
	295 7
	298 11
	303 17
	305 22
	308 26
	310 29
	311 32
	308 28
	307 25
	306 20
	305 16
	303 11
	303 8
	303 5
	303 2
	308 2
	308 5
	311 6
	314 9
	317 13
	320 17
	324 18
	326 22
	329 23
	328 19
	328 16
	327 12
	326 9
	324 6
	323 3
	326 5
	328 9
	331 12
	334 15
	336 18
	339 19
	339 16
	338 13
	337 10
	336 7
	335 3
	334 0
	338 1
	342 5
	345 8
	347 11
	351 14
	354 18
	357 20
	354 15
	353 11
	353 8
	356 5
	359 3
	363 3
	366 3
	368 3
.PEN_UP
.PEN_DOWN
	307 46
	308 49
	311 48
	314 48
	317 48
	321 48
	324 47
.PEN_UP
.PEN_DOWN
	219 9
	222 11
	225 13
	228 15
	232 17
	236 21
	239 24
	245 29
	248 32
	251 33
	254 36
	256 39
	259 41
	262 42
	263 45
	263 48
	264 51
	261 51
	258 49
	256 44
	254 40
	253 36
	253 33
	252 30
	250 25
	250 21
	248 18
	248 10
	248 6
	249 3
	252 1
	256 1
	258 4
	261 5
	263 8
	266 11
	267 14
	268 17
	271 16
	274 13
	278 12
	282 12
	285 13
	288 13
	291 13
	294 15
	297 18
	297 21
	298 25
	298 28
	294 27
	291 25
	288 23
	285 20
	283 17
	282 14
	281 11
	281 7
	284 5
	285 2
	290 3
	294 4
	293 3
.PEN_UP
.PEN_DOWN
	317 23
	314 23
	311 22
	308 21
	305 18
	302 15
	301 12
	301 9
	304 7
	309 6
	314 6
	317 6
	320 6
	323 6
	324 4
.PEN_UP
.PEN_DOWN
	342 18
	342 21
	339 22
	336 21
	332 18
	329 17
	328 14
	328 11
	328 8
	331 7
	334 8
	337 9
	339 13
	341 16
	342 13
	342 10
	343 7
	346 5
	349 6
	352 7
	355 9
	358 12
	360 15
	364 16
	365 19
	366 16
	366 12
	364 9
	364 5
	368 3
	371 4
	374 5
	378 7
	382 9
	384 12
	387 16
	389 19
	389 22
	387 19
	385 15
	384 12
	383 9
	383 6
	384 3
	387 3
	391 4
	394 5
	397 7
	400 9
	402 12
	403 15
	406 16
	409 20
	411 23
	411 19
	410 16
	410 12
	410 8
	409 4
	407 1
	404 1
	401 2
	399 5
	401 2
	404 2
	407 1
	410 0
	414 0
	417 1
	422 3
	426 4
	429 6
	433 8
	435 11
	435 14
	437 18
	436 21
	433 23
	430 21
	428 18
	427 15
	427 12
	426 9
	427 5
	432 4
	435 4
	438 4
	441 4
	445 4
	450 4
	452 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	235 16
	238 18
	241 21
	244 22
	247 25
	251 28
	254 32
	257 36
	259 39
	260 42
	260 45
	257 45
	255 42
	253 39
	252 36
	250 33
	248 28
	247 22
	245 18
	245 15
	245 12
	243 9
	243 5
	242 2
	242 5
	244 8
	246 11
	249 15
	253 20
	257 22
	260 24
	260 20
	258 16
	256 13
	254 10
	251 9
	248 9
	251 8
	254 7
	257 7
	260 8
	264 11
	266 14
	268 17
	268 20
	271 23
	274 25
	277 26
	278 23
	277 20
	276 16
	276 13
	276 9
	274 6
	273 3
	272 0
	274 3
	276 7
	279 10
	281 13
	284 16
	286 20
	290 23
	292 26
	295 28
	296 25
	296 22
	294 19
	293 16
	293 13
	293 10
	292 7
	296 4
	299 4
	302 5
	305 6
	308 9
	312 12
	314 15
	315 18
	314 15
	313 12
	313 8
	313 5
	317 4
	320 5
	323 7
	324 10
	326 13
	327 16
	327 19
	327 22
	327 25
	326 28
	323 29
	320 28
	317 28
	316 25
	316 22
	318 19
	321 18
	324 20
	327 21
	330 23
	333 25
	336 27
	340 27
	341 24
	341 21
	341 17
	340 14
	340 11
	338 8
	341 10
	344 12
	346 15
	348 18
	351 21
	354 24
	354 27
	354 23
	353 20
	353 16
	353 13
	357 11
	360 12
	363 15
	365 18
	365 21
	367 25
	368 28
	369 25
	370 22
	373 21
	376 21
	380 22
	383 22
	386 24
	389 25
	392 28
	395 30
	397 27
	396 24
	396 21
	396 18
	396 15
	396 11
	395 8
	390 7
	387 8
	384 8
	381 11
	379 15
	381 17
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	237 16
	237 19
	236 22
	235 25
	232 27
	228 26
	224 21
	222 17
	221 14
	220 10
	219 7
	219 3
	222 2
	226 3
	229 4
	232 8
	235 11
	237 16
	239 19
	240 22
	241 25
	242 29
	243 34
	244 38
	246 41
	248 45
	247 42
	245 38
	245 34
	243 30
	243 26
	242 21
	241 16
	241 13
	241 9
	241 6
	241 3
	244 0
	247 0
	251 0
	254 2
	258 5
	261 8
	264 12
	265 15
	266 18
	263 18
	260 16
	260 13
	261 10
	263 6
	266 5
	272 4
	275 4
	278 4
	282 6
	286 8
	289 9
	293 12
	295 16
	295 20
	295 23
	294 26
	291 24
	290 21
	287 18
	287 15
	286 12
	284 9
	284 6
	284 3
	287 2
	291 2
	296 1
	299 1
	302 2
	305 3
	308 6
	311 7
	314 10
	317 12
	320 16
	322 19
	325 21
	327 18
	326 15
	325 12
	325 8
	323 5
	320 3
	317 3
	314 4
	317 1
	320 1
	324 1
	328 1
	332 1
.PEN_UP
.PEN_DOWN
	258 43
	261 43
	264 42
	267 40
	268 39
.PEN_UP
.PEN_DOWN
	253 16
	254 19
	255 22
	256 25
	255 28
	251 28
	248 26
	245 21
	244 18
	243 14
	243 11
	246 10
	249 13
	251 17
	254 19
	256 22
	257 26
	258 22
	258 18
	258 13
	258 10
	260 6
	262 3
	265 2
	267 5
	269 9
	271 12
	273 15
	275 19
	277 22
	280 25
	280 22
	280 19
	280 15
	281 11
	281 7
	281 3
	282 0
	285 1
	288 4
	291 7
	294 11
	296 14
	299 17
	301 20
	302 17
	303 13
	303 10
	305 7
	309 5
	313 4
	316 4
	319 4
.PEN_UP
.PEN_DOWN
	330 17
	327 19
	324 20
	321 19
	318 17
	314 15
	311 11
	310 7
	310 4
	313 3
	318 3
	321 6
	324 8
	326 12
	330 16
	332 20
	335 26
	336 29
	338 34
	338 37
	339 40
	339 44
	336 43
	335 39
	333 34
	332 29
	332 26
	330 19
	329 16
	329 13
	329 10
	329 6
	332 2
	336 1
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	199 46
	198 49
	198 52
	198 56
	197 59
	194 60
	191 58
	188 56
	187 53
	185 49
	183 45
	182 42
	181 39
	182 36
	185 36
	189 38
	190 41
	193 43
	195 46
	196 49
	198 52
	196 49
	196 46
	196 43
	198 40
	198 37
	201 35
	204 35
	208 35
	210 35
.PEN_UP
.PEN_DOWN
	223 52
	220 53
	216 53
	213 51
	209 49
	208 45
	207 41
	207 38
	208 35
	211 36
	214 38
	215 41
	217 44
	218 47
	220 51
	222 54
	224 57
	226 60
	227 63
	226 66
	227 69
	229 72
	229 75
	230 78
	230 81
	228 78
	226 75
	226 72
	224 68
	224 65
	223 62
	223 59
	223 55
	223 52
	223 49
	222 46
	222 43
	221 40
	223 37
	226 37
	227 40
	228 43
	230 47
	232 50
	233 54
	233 57
	233 60
	236 60
	236 57
	236 53
	236 49
	236 45
	237 42
	238 39
	239 36
	242 37
	245 39
	246 42
	247 45
	247 49
	248 52
	249 55
	249 58
	251 54
	254 53
	257 50
	260 50
	263 51
	266 53
	269 53
	273 54
	274 57
	271 57
	268 56
	266 53
	264 50
	261 47
	261 44
	261 41
	264 39
	267 41
	270 44
	271 47
	273 51
	276 54
	275 51
	275 48
	274 45
	274 42
	274 39
	276 36
	279 37
	280 40
	284 44
	285 48
	288 50
	291 53
	295 55
	296 51
	295 46
	295 43
	295 40
	296 43
	299 45
	302 49
	305 51
	305 48
	305 45
	305 42
	305 39
	308 39
	311 40
	314 42
	318 44
	321 46
	324 49
	327 51
	328 54
	330 57
	333 60
	334 64
	336 69
	337 72
	338 75
	337 72
	336 69
	334 66
	333 63
	332 60
	330 55
	329 51
	329 47
	329 43
	330 40
	333 41
	336 39
	340 40
.PEN_UP
.PEN_DOWN
	313 62
	316 62
	319 62
	323 62
	327 62
	330 63
	333 63
	337 63
.PEN_UP
.PEN_DOWN
	347 53
	347 56
	344 58
	340 57
	338 54
	337 51
	337 47
	337 43
	340 41
	344 43
	345 46
	348 48
	350 51
	349 48
	349 45
	352 43
	355 42
	360 42
	366 45
	369 47
	371 50
	374 52
	374 55
	374 58
	374 61
	371 62
	368 62
	365 59
	365 56
	364 52
	363 48
	363 45
	363 42
	363 39
	363 35
	365 32
	365 29
	366 24
	366 21
	367 17
	367 14
	367 10
	366 7
	364 4
	364 1
	361 0
	358 2
	357 5
	356 8
	355 11
	355 15
	355 18
	356 23
	358 27
	360 30
	365 32
	368 34
	372 36
	375 37
	380 39
	383 40
	387 41
	391 43
	394 45
	396 48
	396 51
	396 54
	396 57
	393 60
	390 61
	387 58
	383 54
	382 50
	381 46
	381 41
	385 38
	389 35
	394 34
	399 34
	405 34
	409 33
	412 33
.PEN_UP
.PEN_DOWN
	208 11
	208 14
	207 17
	209 20
	212 23
	215 25
	218 27
	221 29
	224 29
	225 26
	225 22
	225 18
	225 15
	225 10
	225 6
	225 3
	228 2
	229 6
	232 11
	234 14
	237 18
	239 22
	241 25
	241 22
	240 18
	240 15
	240 12
	240 8
	241 4
	244 2
	246 5
	249 8
	250 11
	253 15
	253 19
	254 22
	254 25
	254 28
	255 32
	258 31
	261 28
	264 27
	268 27
	272 28
	275 29
	277 32
	279 35
	279 39
	280 42
	280 45
	280 49
	279 52
	276 48
	274 45
	271 41
	270 34
	269 31
	268 28
	268 25
	268 22
	268 19
	268 15
	268 12
	267 9
	267 6
	266 0
	268 4
	268 7
	269 11
	271 14
	272 18
	275 20
	278 22
	281 22
	281 19
	281 16
	281 13
	281 10
	281 6
	282 2
	285 0
	288 0
	290 3
	293 4
	294 7
	296 10
	299 13
	300 17
	304 21
	306 25
	308 28
	306 25
	304 21
	304 16
	302 11
	302 8
	302 5
	303 2
	308 2
	312 3
	316 4
	319 4
	322 3
.PEN_UP
.PEN_DOWN
	306 46
	309 45
	312 44
	316 42
.PEN_UP
.PEN_DOWN
	338 23
	334 23
	330 22
	326 19
	325 16
	325 12
	325 8
	327 5
	330 4
	333 5
	336 8
	338 11
	341 15
	344 19
	346 22
	349 25
	351 28
	353 31
	356 36
	358 42
	361 47
	361 51
	361 54
	357 52
	356 49
	355 46
	353 42
	352 37
	352 34
	351 31
	350 27
	348 23
	347 18
	347 14
	347 11
	347 8
	347 4
	348 0
	351 2
	353 5
	354 9
	355 12
	357 15
	361 18
	364 17
	364 14
	364 10
	365 6
	367 3
	370 0
	373 0
	377 0
	380 0
	388 0
.PEN_UP
.PEN_DOWN
	184 15
	188 16
	191 19
	193 22
	196 26
	197 29
	199 33
	202 37
	205 42
	207 46
	210 50
	210 53
	209 50
	207 47
	206 43
	204 38
	204 35
	203 32
	202 28
	202 25
	202 22
	202 18
	202 15
	205 13
	208 13
	211 13
	216 15
	218 18
	221 20
	224 23
	227 27
	231 33
	233 36
	234 41
	235 44
	236 48
	238 51
	238 55
	233 55
	233 52
	233 49
	230 45
	229 42
	229 37
	228 34
	227 30
	226 27
	225 20
	224 17
	223 14
	223 11
	223 7
	224 4
	226 0
	227 3
	229 6
	229 9
	230 12
	232 17
	233 21
	235 24
	237 21
	238 17
	239 14
	242 11
	245 10
	248 11
	251 14
	255 18
	256 21
	259 25
	259 28
	259 31
	256 34
	252 34
	248 31
	247 28
	247 25
	248 22
	250 18
	251 15
	253 12
	256 10
	260 8
	264 8
	268 8
	272 8
	276 9
	281 9
.PEN_UP
.PEN_DOWN
	182 37
	184 41
	187 42
	190 42
	196 38
	200 38
	204 36
.PEN_UP
.PEN_DOWN
	161 21
	162 24
	164 27
	167 30
	169 33
	172 33
	175 34
	178 34
	177 30
	176 24
	176 21
	176 17
	176 13
	177 9
	179 5
	181 9
	184 13
	187 16
	190 18
	192 22
	194 26
	196 29
	196 33
	197 36
	196 33
	195 29
	195 26
	195 20
	195 17
	195 14
	195 11
	198 10
	201 12
	205 16
	207 19
	210 23
	211 26
	212 30
	214 34
	215 37
	217 40
	219 37
	220 34
	221 31
	222 25
	222 21
	221 17
	221 12
	220 8
	220 5
	219 2
	221 6
	223 9
	225 13
	229 17
	230 22
	233 25
	237 28
	239 31
	239 27
	238 23
	237 19
	236 13
	236 9
	236 6
	239 6
	243 6
	246 8
	248 11
	251 14
	253 17
	254 21
	257 25
	259 28
	260 32
	259 29
	258 24
	258 21
	258 18
	258 14
	259 11
	261 8
	265 7
.PEN_UP
.PEN_DOWN
	248 51
	251 53
	255 51
	256 49
.PEN_UP
.PEN_DOWN
